t_original,x_original,t_noNaN,x_noNaN,t_noOutliers,x_noOutliers,t_minmax,x_minmax,t_zscore,x_zscore
0,0.315751875325358,0,0.315751875325358,0,0.315751875325358,0,0.571889938171839,-1.72945424571221,0.409807724489646
0.1,0.0244738910267136,0.1,0.0244738910267136,0.1,0.0244738910267136,0.001001001001001,0.473655494640838,-1.72599187484992,0.016637380862269
0.2,-0.0287816575193493,0.2,-0.0287816575193493,0.2,-0.0287816575193493,0.002002002002002,0.455694888421465,-1.72252950398764,-0.055247565651409
0.3,0.342859461219797,0.3,0.342859461219797,0.3,0.342859461219797,0.003003003003003,0.581032059304752,-1.71906713312535,0.44639785294267
0.4,0.127619549434678,0.4,0.127619549434678,0.4,0.127619549434678,0.004004004004004,0.508441701984117,-1.71560476226306,0.155864566389453
0.5,0.413495906356853,0.5,0.413495906356853,0.5,0.413495906356853,0.005005005005005,0.604854429188816,-1.71214239140078,0.541743731808263
0.6,0.569287422749017,0.6,0.569287422749017,0.6,0.569287422749017,0.00600600600600601,0.65739562263495,-1.70868002053849,0.752032896578558
0.7,0.594564114121136,0.7,0.594564114121136,0.7,0.594564114121136,0.00700700700700701,0.665920268660717,-1.7052176496762,0.786151662734087
0.8,0.734131450145289,0.8,0.734131450145289,0.8,0.734131450145289,0.00800800800800801,0.712989804734476,-1.70175527881392,0.974541243896227
0.9,0.788797441512895,0.9,0.788797441512895,0.9,0.788797441512895,0.00900900900900901,0.731426087363243,-1.69829290795163,1.04833002220875
1,0.84845647634775,1,0.84845647634775,1,0.84845647634775,0.01001001001001,0.751546290071697,-1.69483053708934,1.12885846751154
1.1,0.950636570633978,1.1,0.950636570633978,1.1,0.950636570633978,0.011011011011011,0.786006857787866,-1.69136816622706,1.26678232358026
1.2,0.914844061288329,1.2,0.914844061288329,1.2,0.914844061288329,0.012012012012012,0.773935718094236,-1.68790579536477,1.21846918644908
1.3,NaN,1.3,0.988159583627649,1.3,0.988159583627649,0.013013013013013,0.798661615441162,-1.68444342450248,1.3174313142624
1.4,1.06147510596697,1.4,1.06147510596697,1.4,1.06147510596697,0.014014014014014,0.823387512788088,-1.6809810536402,1.41639344207573
1.5,1.4130179768707,1.5,1.4130179768707,1.5,1.4130179768707,0.015015015015015,0.94194648449915,-1.67751868277791,1.89091001663175
1.6,1.1683933742775,1.6,1.1683933742775,1.6,1.1683933742775,0.016016016016016,0.859446045038895,-1.67405631191562,1.56071293945523
1.7,1.14013483565097,1.7,1.14013483565097,1.7,1.14013483565097,0.017017017017017,0.849915761369638,-1.67059394105334,1.52256924188417
1.8,0.915902422274242,1.8,0.915902422274242,1.8,0.915902422274242,0.018018018018018,0.774292653764319,-1.66713157019105,1.21989777417264
1.9,1.00661392156048,1.9,1.00661392156048,1.9,1.00661392156048,0.019019019019019,0.804885400674811,-1.66366919932876,1.34234118997422
2,0.752758588733037,2,0.752758588733037,2,0.752758588733037,0.02002002002002,0.719271867548623,-1.66020682846648,0.999684367901887
2.1,1.21252726431488,2.1,1.21252726431488,2.1,1.21252726431488,0.021021021021021,0.874330342385021,-1.65674445760419,1.62028536733163
2.2,0.673946901356315,2.2,0.673946901356315,2.2,0.673946901356315,0.022022022022022,0.692692370743078,-1.6532820867419,0.893303453867584
2.3,0.97201389721338,2.3,0.97201389721338,2.3,0.97201389721338,0.023023023023023,0.793216430408895,-1.64981971587962,1.2956376826878
2.4,0.553886764288595,2.4,0.553886764288595,2.4,0.553886764288595,0.024024024024024,0.652201700692949,-1.64635734501733,0.731244912228997
2.5,0.509924792457226,2.5,0.509924792457226,2.5,0.509924792457226,0.025025025025025,0.637375383318573,-1.64289497415504,0.671904541506866
2.6,0.500338370333407,2.6,0.500338370333407,2.6,0.500338370333407,0.026026026026026,0.634142331410946,-1.63943260329276,0.658964679643793
2.7,0.246109963826125,2.7,0.246109963826125,2.7,0.246109963826125,0.027027027027027,0.548402977978005,-1.63597023243047,0.315804278465564
2.8,0.589073017141269,2.8,0.589073017141269,2.8,0.589073017141269,0.028028028028028,0.664068378420915,-1.63250786156818,0.778739717434947
2.9,0.203774063139546,2.9,0.203774063139546,2.9,0.203774063139546,0.029029029029029,0.534125058363367,-1.6290454907059,0.258658797111057
3,0.330820517469829,3,0.330820517469829,3,0.330820517469829,0.03003003003003,0.576971886536025,-1.62558311984361,0.43014754943112
3.1,-0.257492786146932,3.1,-0.257492786146932,3.1,-0.257492786146932,0.031031031031031,0.378561319593131,-1.62212074898132,-0.363964454263612
3.2,-0.220736806938932,3.2,-0.220736806938932,3.2,-0.220736806938932,0.032032032032032,0.390957392618111,-1.61865837811904,-0.314350814529162
3.3,-0.176969431167449,3.3,-0.176969431167449,3.3,-0.176969431167449,0.033033033033033,0.405718081841075,-1.61519600725675,-0.255273111786962
3.4,0.133927683152527,3.4,0.133927683152527,3.4,0.133927683152527,0.034034034034034,0.510569140509841,-1.61173363639446,0.164379357191325
3.5,-0.329145750720567,3.5,-0.329145750720567,3.5,-0.329145750720567,0.035035035035035,0.354396125237004,-1.60827126553217,-0.460682442652505
3.6,-0.399343230715336,3.6,-0.399343230715336,3.6,-0.399343230715336,0.036036036036036,0.3307217977688,-1.60480889466989,-0.55543580136506
3.7,-0.122699905467096,3.7,-0.122699905467096,3.7,-0.122699905467096,0.037037037037037,0.424020655139576,-1.6013465238076,-0.182019487351599
3.8,-0.823904076368767,3.8,-0.823904076368767,3.8,-0.823904076368767,0.038038038038038,0.187537277599041,-1.59788415294531,-1.12851287060605
3.9,-0.737208034517349,3.9,-0.737208034517349,3.9,-0.737208034517349,0.039039039039039,0.216775798485269,-1.59442178208303,-1.01148956502416
4,-0.751393588219905,4,-0.751393588219905,4,-0.751393588219905,0.04004004004004,0.211991674558069,-1.59095941122074,-1.03063738711998
4.1,-0.658096926273039,4.1,-0.658096926273039,4.1,-0.658096926273039,0.041041041041041,0.243456275948106,-1.58749704035845,-0.904704489289542
4.2,-0.935015950486241,4.2,-0.935015950486241,4.2,-0.935015950486241,0.042042042042042,0.150064438208524,-1.58403466949617,-1.27849294490874
4.3,-0.725464319945623,4.3,-0.725464319945623,4.3,-0.725464319945623,0.043043043043043,0.220736404257512,-1.58057229863388,-0.995637765222866
4.4,-0.809890462911418,4.4,-0.809890462911418,4.4,-0.809890462911418,0.0440440440440441,0.192263414121703,-1.57710992777159,-1.10959713541324
4.5,-0.993622748442285,4.5,-0.993622748442285,4.5,-0.993622748442285,0.045045045045045,0.130299105795199,-1.57364755690931,-1.35760106887753
4.6,-1.27760527424337,4.6,-1.27760527424337,4.6,-1.27760527424337,0.046046046046046,0.0345250792694067,-1.57018518604702,-1.74092391946038
4.7,-0.959273782656093,4.7,-0.959273782656093,4.7,-0.959273782656093,0.047047047047047,0.141883405748375,-1.56672281518473,-1.31123644329857
4.8,-1.04700636564805,4.8,-1.04700636564805,4.8,-1.04700636564805,0.0480480480480481,0.112295308005581,-1.56326044432245,-1.429658883928
4.9,-0.840163574663487,4.9,-0.840163574663487,4.9,-0.840163574663487,0.0490490490490491,0.182053709141503,-1.55979807346016,-1.15046012675428
5,-1.183344750076,5,-1.183344750076,5,-1.183344750076,0.05005005005005,0.0663147463148513,-1.55633570259787,-1.61368998941717
5.1,-0.714891503670004,5.1,-0.714891503670004,5.1,-0.714891503670004,0.0510510510510511,0.224302120787348,-1.55287333173559,-0.981366457289299
5.2,-0.949730755675037,5.2,-0.949730755675037,5.2,-0.949730755675037,0.0520520520520521,0.145101822503567,-1.5494109608733,-1.29835515669388
5.3,-0.424478186591475,5.3,-0.424478186591475,5.3,-0.424478186591475,0.0530530530530531,0.322244952498073,-1.54594859001101,-0.589363251332402
5.4,-0.778882125917565,5.4,-0.778882125917565,5.4,-0.778882125917565,0.0540540540540541,0.202721076195778,-1.54248621914873,-1.06774172865965
5.5,-0.631816678291646,5.5,-0.631816678291646,5.5,-0.631816678291646,0.0550550550550551,0.252319374690447,-1.53902384828644,-0.86923111098278
5.6,-0.614069463856835,5.6,-0.614069463856835,5.6,-0.614069463856835,0.0560560560560561,0.258304680234314,-1.53556147742415,-0.845275718629442
5.7,-0.697200286964905,5.7,-0.697200286964905,5.7,-0.697200286964905,0.0570570570570571,0.230268540915516,-1.53209910656187,-0.957486651309873
5.8,-0.734521726013926,5.8,-0.734521726013926,5.8,-0.734521726013926,0.0580580580580581,0.217681764727866,-1.52863673569958,-1.00786355518369
5.9,-0.558444808452696,5.9,-0.558444808452696,5.9,-0.558444808452696,0.0590590590590591,0.277064275414108,-1.52517436483729,-0.770192924672119
6,-0.0248617078051506,6,-0.0248617078051506,6,-0.0248617078051506,0.0600600600600601,0.457016904157639,-1.52171199397501,-0.049956372841748
6.1,0.144150684048723,6.1,0.144150684048723,6.1,0.144150684048723,0.0610610610610611,0.514016880670062,-1.51824962311272,0.178178480338028
6.2,0.0288949758287009,6.2,0.0288949758287009,6.2,0.0288949758287009,0.0620620620620621,0.475146519808333,-1.51478725225043,0.0226050115261126
6.3,0.180800276181265,6.3,0.180800276181265,6.3,0.180800276181265,0.0630630630630631,0.526377074309301,-1.51132488138815,0.227648517585267
6.4,-0.226518935179111,6.4,-0.226518935179111,6.4,-0.226518935179111,0.0640640640640641,0.389007351143241,-1.50786251052586,-0.32215559714108
6.5,NaN,6.5,0.14049554992458,6.5,0.14049554992458,0.0650650650650651,0.51278417484926,-1.50440013966357,0.173244738630588
6.6,0.507510035028271,6.6,0.507510035028271,6.6,0.507510035028271,0.0660660660660661,0.636560998555279,-1.50093776880129,0.668645074402255
6.7,0.536124897796681,6.7,0.536124897796681,6.7,0.536124897796681,0.0670670670670671,0.646211453695372,-1.497475397939,0.707269742361956
6.8,0.42430896769168,6.8,0.42430896769168,6.8,0.42430896769168,0.0680680680680681,0.608501169142922,-1.49401302707671,0.556339325261419
6.9,0.722681661099942,6.9,0.722681661099942,6.9,0.722681661099942,0.0690690690690691,0.709128326297905,-1.49055065621443,0.959086188121037
7,0.789862837581804,7,0.789862837581804,7,0.789862837581804,0.0700700700700701,0.73178539563785,-1.48708828535214,1.04976810596754
7.1,0.36857042518739,7.1,0.36857042518739,7.1,0.36857042518739,0.0710710710710711,0.589703165169769,-1.48362591448985,0.481102805198056
7.2,0.933164086870993,7.2,0.933164086870993,7.2,0.933164086870993,0.0720720720720721,0.780114206052809,-1.48016354362757,1.24319776581954
7.3,0.331008534606335,7.3,0.331008534606335,7.3,0.331008534606335,0.0730730730730731,0.57703529592422,-1.47670117276528,0.430401337105275
7.4,1.22873210377241,7.4,1.22873210377241,7.4,1.22873210377241,0.0740740740740741,0.879795476972699,-1.47323880190299,1.64215884435834
7.5,0.371012259634212,7.5,0.371012259634212,7.5,0.371012259634212,0.0750750750750751,0.590526681745029,-1.46977643104071,0.484398821170048
7.6,1.09304473570855,7.6,1.09304473570855,7.6,1.09304473570855,0.0760760760760761,0.834034472659123,-1.46631406017842,1.45900648817866
7.7,0.323454871748869,7.7,0.323454871748869,7.7,0.323454871748869,0.0770770770770771,0.574487798662418,-1.46285168931613,0.420205316872347
7.8,1.2688791453251,7.8,1.2688791453251,7.8,1.2688791453251,0.0780780780780781,0.893335196755643,-1.45938931845385,1.69634977870204
7.9,0.843969037220691,7.9,0.843969037220691,7.9,0.843969037220691,0.0790790790790791,0.750032886693177,-1.45592694759156,1.1228012710233
8,0.773821512297492,8,0.773821512297492,8,0.773821512297492,0.0800800800800801,0.726375406734643,-1.45246457672927,1.02811534223582
8.1,0.928506898249793,8.1,0.928506898249793,8.1,0.928506898249793,0.0810810810810811,0.778543554107644,-1.44900220586699,1.23691143952906
8.2,0.796626793790395,8.2,0.796626793790395,8.2,0.796626793790395,0.0820820820820821,0.734066561774792,-1.4455398350047,1.05889817116356
8.3,0.936675088073049,8.3,0.936675088073049,8.3,0.936675088073049,0.0830830830830831,0.781298302578852,-1.44207746414241,1.24793695526571
8.4,1.05644781279404,8.4,1.05644781279404,8.4,1.05644781279404,0.0840840840840841,0.821692041884239,-1.43861509328013,1.40960754444232
8.5,0.915223163631959,8.5,0.915223163631959,8.5,0.915223163631959,0.0850850850850851,0.774063571587377,-1.43515272241784,1.21898090311408
8.6,0.745931326697018,8.6,0.745931326697018,8.6,0.745931326697018,0.0860860860860861,0.71696935131636,-1.43169035155555,0.990468851778349
